K,nvtx,pileup_ratio
MU,27,1.12134132247053
MU,28,1.15585339474274
MU,29,1.19214399856171
MU,30,1.23308400947467
MU,31,1.24528804633732
MU,32,1.26786364716917
MU,33,1.26101551498967
MU,34,1.23297806722714
MU,35,1.18042533075471
MU,36,1.10534683838101
MU,37,1.00275591661645
MU,38,0.889094305531985
MU,39,0.768791254270252
MU,40,0.655054015673457
MU,41,0.533361034358457
MU,42,0.423095146361996
MU,43,0.329177839117034
MU,44,0.250352385505809
MU,45,0.188377378855567
MU,46,0.137852651411779
MU,47,0.0968577167707531
MU,48,0.0686240187247059
MU,49,0.0473889635126706
MU,50,0.0323695027438475
MU,51,0.0216752397914914
MU,52,0.0145119352923332
MU,53,0.00961177893634792
MU,54,0.00615582219138384
MU,55,0.00430085627914427
MU,56,0.00305735512896403
MU,57,0.00223567790438986
MU,58,0.00189369737638594
MU,59,0.00199585978316291
MU,60,0.00236236592656064
MU,61,0.00372472999463276
MU,62,0.00474687312579969
MU,63,0.00549508151576102
MU,64,0.00603023110946686
MU,65,0.0068545111910253
MU,66,0.00695838760530896
MU,67,0.00666224781277046
MU,68,0.00588243140681038
MU,69,0.00528714370892014
MU,70,0.00453424615273565
MU,71,0.00433985030329723
MU,72,0.00401493171035719
MU,73,0.00332436608713241
MU,74,0.00300063798808221
MU,75,0.00289925128977536
MD,0,0
MD,1,0.37361294640242
MD,2,1.1627791004568
MD,3,1.26890787896295
MD,4,1.10266790442705
MD,5,1.23456697093644
MD,6,1.26278991594152
MD,7,0.909648777562084
MD,8,0.759569490571151
MD,9,1.09035651921682
MD,10,1.34530547603283
MD,11,1.48713160105
MD,12,1.52535976889483
MD,13,1.49730550773404
MD,14,1.49792998045778
MD,15,1.49767851097519
MD,16,1.44431045398336
MD,17,1.3681909492045
MD,18,1.29912252494785
MD,19,1.2274279217797
MD,20,1.16525969099909
MD,21,1.12531044676724
MD,22,1.09094501417685
MD,23,1.06405434433422
MD,24,1.03997120824565
MD,25,1.0185716022098
MD,26,1.00560949501652
MD,27,0.997570939806059
MD,28,0.985543761409897
MD,29,0.972557804582185
MD,30,0.957832827239337
MD,31,0.9139572640153
MD,32,0.872252387173971
MD,33,0.808388185417578
MD,34,0.733817960498049
MD,35,0.650440963845892
MD,36,0.561688505024782
MD,37,0.466564380334112
MD,38,0.374428618658619
MD,39,0.28845274688129
MD,40,0.214909665968644
MD,41,0.149991974352384
MD,42,0.100014138338029
MD,43,0.0642260884603397
MD,44,0.0396553405911344
MD,45,0.0238687936736627
MD,46,0.0137921542898078
MD,47,0.00756854010632403
MD,48,0.00415483516246187
MD,49,0.00221776872027937
MD,50,0.00118249725637452
MD,51,0.000641889697310868
MD,52,0.000383647166012176
MD,53,0.000273637590071334
MD,54,0.000242902582071058
MD,55,0.000291239677209452
MD,56,0.000394091114279828
MD,57,0.000542541231466254
MD,58,0.000771067920964491
MD,59,0.00113596447675107
MD,60,0.00158061353194779
MD,61,0.00261959852500539
MD,62,0.00331800452823827
MD,63,0.00372426930370732
MD,64,0.00392086545082614
MD,65,0.00425479965493548
MD,66,0.00411256966391362
MD,67,0.00374240422174387
MD,68,0.00313603438166934
MD,69,0.00267155793176928
MD,70,0.00216878198028599
MD,71,0.00196249821290853
MD,72,0.00171433839159669
MD,73,0.00133866519755926
MD,74,0.00113810604240254
MD,75,0.00103447940224886
